DATE,AvgTemp
04-03-2016,52
04-04-2016,54
04-05-2016,53
04-06-2016,50
04-07-2016,48
04-08-2016,46
04-09-2016,48
04-10-2016,47
04-11-2016,51
04-12-2016,50
4/13/2016,49
4/14/2016,49
4/15/2016,45
4/16/2016,44
4/17/2016,45
4/18/2016,48
4/19/2016,46
4/20/2016,
4/21/2016,50
4/22/2016,50
4/23/2016,50
4/24/2016,51
4/25/2016,48
4/26/2016,50
4/27/2016,51
4/28/2016,50
4/29/2016,53
4/30/2016,48
05-01-2016,49
05-02-2016,54
05-03-2016,52
05-04-2016,55
05-05-2016,51
05-06-2016,49
05-07-2016,47
05-08-2016,47
05-09-2016,44
05-10-2016,43
05-11-2016,45
05-12-2016,45
5/13/2016,44
5/14/2016,50
5/15/2016,52
5/16/2016,52
5/17/2016,52
5/18/2016,51
5/19/2016,51
5/20/2016,49
5/21/2016,49
5/22/2016,47
5/23/2016,44
5/24/2016,42
5/25/2016,43
5/26/2016,44
5/27/2016,44
5/28/2016,45
5/29/2016,46
5/30/2016,47
5/31/2016,49
06-01-2016,48
06-02-2016,49
06-03-2016,49
06-04-2016,52
06-05-2016,52
06-06-2016,51
06-07-2016,52
06-08-2016,52
06-09-2016,53
06-10-2016,53
06-11-2016,47
06-12-2016,49
6/13/2016,49
6/14/2016,48
6/15/2016,48
6/16/2016,52
6/17/2016,53
6/18/2016,51
6/19/2016,51
6/20/2016,49
6/21/2016,48
6/22/2016,48
6/23/2016,49
6/24/2016,50
6/25/2016,50
6/26/2016,48
6/27/2016,45
6/28/2016,46
6/29/2016,46
6/30/2016,51
07-01-2016,48
07-02-2016,53
07-03-2016,56
07-04-2016,51
07-05-2016,47
07-06-2016,47
07-07-2016,52
07-08-2016,52
07-09-2016,49
07-10-2016,45
07-11-2016,43
07-12-2016,45
7/13/2016,45
7/14/2016,48
7/15/2016,50
7/16/2016,48
7/17/2016,47
7/18/2016,44
7/19/2016,45
7/20/2016,48
7/21/2016,52
7/22/2016,49
7/23/2016,48
7/24/2016,48
7/25/2016,50
7/26/2016,50
7/27/2016,48
7/28/2016,49
7/29/2016,48
7/30/2016,48
7/31/2016,48
08-01-2016,49
08-02-2016,49
08-03-2016,47
08-04-2016,49
08-05-2016,52
08-06-2016,48
08-07-2016,49
08-08-2016,51
08-09-2016,50
08-10-2016,52
08-11-2016,51
08-12-2016,53
8/13/2016,48
8/14/2016,48
8/15/2016,48
8/16/2016,48
8/17/2016,50
8/18/2016,51
8/19/2016,50
8/20/2016,48
8/21/2016,47
8/22/2016,47
8/23/2016,48
8/24/2016,47
8/25/2016,48
8/26/2016,50
8/27/2016,46
8/28/2016,44
8/29/2016,44
8/30/2016,48
8/31/2016,46
09-01-2016,47
09-02-2016,50
09-03-2016,47
09-04-2016,47
09-05-2016,48
09-06-2016,49
09-07-2016,46
09-08-2016,44
09-09-2016,47
09-10-2016,48
09-11-2016,47
09-12-2016,50
9/13/2016,50
9/14/2016,46
9/15/2016,42
9/16/2016,47
9/17/2016,49
9/18/2016,49
9/19/2016,51
9/20/2016,51
9/21/2016,52
9/22/2016,48
9/23/2016,48
9/24/2016,47
9/25/2016,47
9/26/2016,50
9/27/2016,44
9/28/2016,45
9/29/2016,48
9/30/2016,49
10-01-2016,48
10-02-2016,46
10-03-2016,44
10-04-2016,46
10-05-2016,45
10-06-2016,44
10-07-2016,44
10-08-2016,45
10-09-2016,45
10-10-2016,49
10-11-2016,48
10-12-2016,51
10/13/2016,52
10/14/2016,54
10/15/2016,55
10/16/2016,49
10/17/2016,49
10/18/2016,48
10/19/2016,48
10/20/2016,45
10/21/2016,47
10/22/2016,47
10/23/2016,52
10/24/2016,52
10/25/2016,47
10/26/2016,50
10/27/2016,49
10/28/2016,48
10/29/2016,46
10/30/2016,47
10/31/2016,48
11-01-2016,49
11-02-2016,48
11-03-2016,51
11-04-2016,49
11-05-2016,50
11-06-2016,49
11-07-2016,47
11-08-2016,46
11-09-2016,48
11-10-2016,49
11-11-2016,47
11-12-2016,45
11/13/2016,48
11/14/2016,49
11/15/2016,48
11/16/2016,48
11/17/2016,48
11/18/2016,49
11/19/2016,50
11/20/2016,48
11/21/2016,46
11/22/2016,44
11/23/2016,49
11/24/2016,47
11/25/2016,48
11/26/2016,50
11/27/2016,49
11/28/2016,46
11/29/2016,45
11/30/2016,40
12-01-2016,34
12-02-2016,35
12-03-2016,40
12-04-2016,41
12-05-2016,47
12-06-2016,46
12-07-2016,43
12-08-2016,46
12-09-2016,45
12-10-2016,41
12-11-2016,44
12-12-2016,43
12/13/2016,42
12/14/2016,45
12/15/2016,44
12/16/2016,39
12/17/2016,42
12/18/2016,37
12/19/2016,44
12/20/2016,45
12/21/2016,45
12/22/2016,47
12/23/2016,47
12/24/2016,47
12/25/2016,42
12/26/2016,42
12/27/2016,44
12/28/2016,43
12/29/2016,37
12/30/2016,39
12/31/2016,38
01-01-2017,39
01-02-2017,43
01-03-2017,43
01-04-2017,42
01-05-2017,40
01-06-2017,41
01-07-2017,41
01-08-2017,43
01-09-2017,47
01-10-2017,45
01-11-2017,42
01-12-2017,39
1/13/2017,43
1/14/2017,44
1/15/2017,45
1/16/2017,45
1/17/2017,47
1/18/2017,46
1/19/2017,50
1/20/2017,51
1/21/2017,45
1/22/2017,42
1/23/2017,40
1/24/2017,38
1/25/2017,40
1/26/2017,46
1/27/2017,51
1/28/2017,46
1/29/2017,43
1/30/2017,40
1/31/2017,43
02-01-2017,40
02-02-2017,41
02-03-2017,41
02-04-2017,43
02-05-2017,49
02-06-2017,48
02-07-2017,45
02-08-2017,46
02-09-2017,48
02-10-2017,50
02-11-2017,43
02-12-2017,43
2/13/2017,47
2/14/2017,50
2/15/2017,49
2/16/2017,47
2/17/2017,49
2/18/2017,45
2/19/2017,40
2/20/2017,37
2/21/2017,33
2/22/2017,35
2/23/2017,34
2/24/2017,35
2/25/2017,39
2/26/2017,40
2/27/2017,38
2/28/2017,39
03-01-2017,39
03-02-2017,41
03-03-2017,43
03-04-2017,43
03-05-2017,44
03-06-2017,42
03-07-2017,43
03-08-2017,43
03-09-2017,41
03-10-2017,41
03-11-2017,37
03-12-2017,38
3/13/2017,42
3/14/2017,45
3/15/2017,47
3/16/2017,45
3/17/2017,46
